date,total_mv,daily_pnl,account_a_mv,account_b_mv,total_pnl,mv_a,mv_b
2026-01-14,16800.0,-50.0,8500.0,8300.0,,,
2026-01-15,16850.0,50.0,8520.0,8330.0,,,
2026-01-16,16834.8,-15.2,8510.0,8324.8,,,
2026-01-17,16832.63,-42.57,10600.4,6232.23,,,
2026-01-17 02:24,17248.894283653834,-23.327106895,11016.66377765383,6232.230506,,,
2026-01-17 02:38,17250.928361281567,-23.327106895,11018.697855281564,6232.230506,,,
2026-01-17 02:45,17252.238947741418,-23.327106895,11020.008441741418,6232.230506,,,
2026-01-17 02:54,17248.147071464053,-23.327106895,11015.916565464053,6232.230506,,,
2026-01-17 11:45,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 11:46,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 11:52,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:26,17136.543049347263,-28.36600905900456,10904.31254334726,6232.230506,,,
2026-01-17 12:36,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:38,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:39,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:43,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:49,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:50,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:51,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 12:55,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 13:02,17246.757689347265,-41.26114357800456,11014.527183347263,6232.230506,,,
2026-01-17 13:41,17243.37744372683,-44.60417776558684,11011.146937726828,6232.230506,,,
2026-01-17 14:55,17243.37744372683,-44.60417776558684,11011.146937726828,6232.230506,,,
2026-01-17 15:32,17243.37744372683,-44.60417776558684,11011.146937726828,6232.230506,,,
2026-01-17 16:49,17243.37744372683,-44.60417776558684,11011.146937726828,6232.230506,,,
2026-01-17 16:51,17243.37744372683,-44.60417776558684,11011.146937726828,6232.230506,,,
2026-01-17 16:54,17243.37744372683,-44.60417776558684,11011.146937726828,6232.230506,,,
2026-01-17 17:59,38000.0,290.0,25000.0,13000.0,,,
2026-01-17 18:05,38000.0,290.0,25000.0,13000.0,,,
2026-01-17 18:14,15880.858253372511,26.886301372513287,9908.290320065866,5972.567933306647,,,
